ID,SMILES
0120,CN1C=C(C=N1)C1=C(N)C=CC=C1
0121,CSC1=CC=C(N)C=C1C#N
0122,NC1=CC=C2CN(C3CC3)C(=O)C2=C1
0123,NC1=CC(Br)=CC(=C1)C#N
0124,NC1=CC=CC2=C1C=CN2
0125,NC1=CC2=C(NC=C2)C=C1
0126,NC1=CC=C2C=CNC2=C1
0127,NC1=C2NC=CC2=CC=C1
0128,CC(C)OC1=C(Cl)C=CC(N)=C1
0129,NC1=CC(OCC2CC2)=C(Cl)C=C1
0130,NC1=CC2=C(NC(=O)C2)C=C1
0131,CC1=C(Cl)C(N)=CC=C1
0132,NC1=CC2=C(OCCO2)C=C1
0133,CN(C)C1=C(N)C=C(F)C=C1
0134,CN(C)CCOC1=CC=C(N)C=C1
0135,CNC1=CC=C(C=C1N)C(F)(F)F
0136,COC1=CC(C)=C(Cl)C=C1N
0137,CCCCNC(=O)C1=CC=CC(N)=C1
0138,CC(C)NC(=O)C1=CC=CC(N)=C1
0139,NC1=CC=C(C=C1)C1=CC(F)=CC=C1
0140,NC1=CC=C(C=C1)C1=CC=C(F)C=C1
0141,CC1=CC(=CC(C)=C1)C1=CC=C(N)C=C1
0142,NC1=CC=CC(=C1)C1=CC=C(F)C=C1
0143,COC1=CC=C(C=C1)C1=CC(N)=CC=C1
0144,COC1=CC=CC(=C1)C1=CC=C(N)C=C1
0145,COC1=CC=C(F)C(N)=C1
0146,CC1=C(N)C=CC=C1N1CCCC1=O
0147,CC1=CC(=CC(C)=C1)C1=CC(N)=CC=C1
0148,CCCCNC1=C(N)C=C(C=C1)C#N
0149,CC(C)(C)NC1=C(N)C=CC=C1
0150,NC1=CC=CC=C1OCCF
0151,NC1=C(O)C=CC(=C1)C(F)(F)F
0152,CC1=C(N)C(=C(F)C=C1)N(=O)=O
0153,COC(=O)C1=CC=CC(N)=C1
0154,CC1=C(N)C=CC(F)=C1F
0155,NC(=O)C1=C(Cl)C=CC=C1N
0156,CNC(=O)C1=C(Cl)C=C(N)C=C1
0157,CCNC(=O)C1=C(Cl)C=C(N)C=C1
0158,CN(C)C(=O)C1=C(Cl)C=C(N)C=C1
0159,NC1=CC=C(O)C(=C1)C(F)(F)F
0160,COCCOC1=CC=C(N)C=C1
0161,COC1=C(C=CC(N)=C1)N(=O)=O
0162,CC1=C(N)C=CC(=C1F)N(=O)=O
0163,COC1=C(N)C=C(F)C=C1Cl
0164,CN(C)C1=C(F)C=C(N)C=C1
0165,CNC1=CC(=CC=C1N)C(=O)OC
0166,NC1=CC=C(C=C1)N1CC(O)C1
0167,CC1=C(N)C=C(C=C1)N(=O)=O
0168,COC1=C(N)C=CC(=C1)N(=O)=O
0169,CC(=O)C1=CC=CC(N)=C1
0170,CC1=CC(C)=C(N)C=C1
0171,CC1=CC=CC(C)=C1N
0172,Cl.COC1=C(C)C=C(N)C=C1C
0173,NC1=CC=C(C=C1)C(O)=O
0174,NC1=C(C=C(Cl)C=C1)C(F)(F)F
0175,CCNC1=C(N)C=CC(=C1)C(=O)OC
0176,COC1=CC(N)=C(C=C1OC)C(O)=O
0177,NC1=C(C=C(O)C=C1)C(O)=O
0178,COC1=CC(=CC(N)=C1)C(F)(F)F
0179,CS(=O)(=O)C1=C(N)C=C(C=C1)C#N
0180,CC(=O)NC1=CC(N)=C(Cl)C=C1
0181,NC1=CC2=C(C=NN2)C=C1
0182,NC1=CC=C(C#N)C(Cl)=C1
0183,NC1=C(O)C(=CC(Cl)=C1)N(=O)=O
0184,NC1=CC=C(OC(F)F)C=C1
0185,COC(=O)C1=C(N)C=CC(Cl)=C1
0186,NC1=CC=CC2=CC=CN=C12
0187,NC1=C(C=C(Cl)C=C1)C(O)=O
0188,NC1=CC=C(F)C(=C1)C#N
0189,COC1=CC(=C(N)C=C1)N(=O)=O
