ID,SMILES
001,NC1=CC=CC=C1
002,NC1=CC=CC(C(F)(F)F)=C1
003,NC1=CC=CC(Cl)=C1
004,NC1=CC=CC2=CC=CC=C21
005,OC1=CC=CC2=C1C=CC=C2N
006,NC1=CC=C(OC)C=C1
007,NC1=CC=C(C=C1)C(N)=O
008,OC1=CC=C(N)C=C1
009,NC1=CC=CC(S(=O)(N)=O)=C1
010,NC1=CC=C(C(N)=N)C=C1
011,NC1=CC=C(CS(=O)(NC)=O)C=C1
012,NC1=CC=C(S(=O)(O)=O)C=C1
